"Time (CET)","Day-ahead Total Load Forecast [MW] - Greece (GR)","Actual Total Load [MW] - Greece (GR)"
"02.06.2018 10:00 - 02.06.2018 11:00","6366","6501"
"02.06.2018 11:00 - 02.06.2018 12:00","6496","6657"
"02.06.2018 12:00 - 02.06.2018 13:00","6502","6676"
"02.06.2018 13:00 - 02.06.2018 14:00","6202","6410"
"02.06.2018 14:00 - 02.06.2018 15:00","5881","6056"
"02.06.2018 15:00 - 02.06.2018 16:00","5704","5927"
"02.06.2018 16:00 - 02.06.2018 17:00","5709","5998"
"02.06.2018 17:00 - 02.06.2018 18:00","5813","6059"
"02.06.2018 18:00 - 02.06.2018 19:00","5855","6051"
"02.06.2018 19:00 - 02.06.2018 20:00","5974","6108"
"02.06.2018 20:00 - 02.06.2018 21:00","6260","6396"
"02.06.2018 21:00 - 02.06.2018 22:00","5892","6001"
"02.06.2018 22:00 - 02.06.2018 23:00","5483","5636"
"02.06.2018 23:00 - 03.06.2018 00:00","5155","5221"
"03.06.2018 00:00 - 03.06.2018 01:00","4815","4890"
"03.06.2018 01:00 - 03.06.2018 02:00","4565","4693"
"03.06.2018 02:00 - 03.06.2018 03:00","4425","4550"
"03.06.2018 03:00 - 03.06.2018 04:00","4366","4470"
"03.06.2018 04:00 - 03.06.2018 05:00","4346","4424"
"03.06.2018 05:00 - 03.06.2018 06:00","4244","4273"
"03.06.2018 06:00 - 03.06.2018 07:00","4464","4441"
"03.06.2018 07:00 - 03.06.2018 08:00","4859","4863"
"03.06.2018 08:00 - 03.06.2018 09:00","5240","5300"
"03.06.2018 09:00 - 03.06.2018 10:00","5621","5742"
"03.06.2018 10:00 - 03.06.2018 11:00","5962","6030"
"03.06.2018 11:00 - 03.06.2018 12:00","6095","6134"
"03.06.2018 12:00 - 03.06.2018 13:00","5958","6087"
"03.06.2018 13:00 - 03.06.2018 14:00","5563","5751"
"03.06.2018 14:00 - 03.06.2018 15:00","5204","5465"
"03.06.2018 15:00 - 03.06.2018 16:00","5151","5383"
"03.06.2018 16:00 - 03.06.2018 17:00","5221","5418"
"03.06.2018 17:00 - 03.06.2018 18:00","5330","5540"
"03.06.2018 18:00 - 03.06.2018 19:00","5402","5646"
"03.06.2018 19:00 - 03.06.2018 20:00","5646","5798"
"03.06.2018 20:00 - 03.06.2018 21:00","6213","6219"
"03.06.2018 21:00 - 03.06.2018 22:00","5964","5991"
"03.06.2018 22:00 - 03.06.2018 23:00","5546","5520"
"03.06.2018 23:00 - 04.06.2018 00:00","5084","5031"
"04.06.2018 00:00 - 04.06.2018 01:00","4714","4566"
"04.06.2018 01:00 - 04.06.2018 02:00","4494","4460"
"04.06.2018 02:00 - 04.06.2018 03:00","4383","4368"
"04.06.2018 03:00 - 04.06.2018 04:00","4343","4317"
"04.06.2018 04:00 - 04.06.2018 05:00","4393","4404"
"04.06.2018 05:00 - 04.06.2018 06:00","4553","4602"
"04.06.2018 06:00 - 04.06.2018 07:00","5194","5291"
"04.06.2018 07:00 - 04.06.2018 08:00","5820","5999"
"04.06.2018 08:00 - 04.06.2018 09:00","6329","6559"
"04.06.2018 09:00 - 04.06.2018 10:00","6590","6905"
"04.06.2018 10:00 - 04.06.2018 11:00","6807","7143"
"04.06.2018 11:00 - 04.06.2018 12:00","6900","7268"
"04.06.2018 12:00 - 04.06.2018 13:00","6937","7292"
"04.06.2018 13:00 - 04.06.2018 14:00","6746","7100"
"04.06.2018 14:00 - 04.06.2018 15:00","6412","6771"
"04.06.2018 15:00 - 04.06.2018 16:00","6208","6530"
"04.06.2018 16:00 - 04.06.2018 17:00","6177","6495"
"04.06.2018 17:00 - 04.06.2018 18:00","6233","6537"
"04.06.2018 18:00 - 04.06.2018 19:00","6264","6537"
"04.06.2018 19:00 - 04.06.2018 20:00","6348","6660"
"04.06.2018 20:00 - 04.06.2018 21:00","6712","6921"
"04.06.2018 21:00 - 04.06.2018 22:00","6333","6434"
"04.06.2018 22:00 - 04.06.2018 23:00","5863","6012"
"04.06.2018 23:00 - 05.06.2018 00:00","5432","5495"
"05.06.2018 00:00 - 05.06.2018 01:00","5032","5091"
"05.06.2018 01:00 - 05.06.2018 02:00","4832","4878"
"05.06.2018 02:00 - 05.06.2018 03:00","4712","4770"
"05.06.2018 03:00 - 05.06.2018 04:00","4672","4712"
"05.06.2018 04:00 - 05.06.2018 05:00","4722","4794"
"05.06.2018 05:00 - 05.06.2018 06:00","4831","4947"
"05.06.2018 06:00 - 05.06.2018 07:00","5459","5581"
"05.06.2018 07:00 - 05.06.2018 08:00","6163","6311"
"05.06.2018 08:00 - 05.06.2018 09:00","6640","6900"
"05.06.2018 09:00 - 05.06.2018 10:00","6908","7210"
"05.06.2018 10:00 - 05.06.2018 11:00","7099","7439"
"05.06.2018 11:00 - 05.06.2018 12:00","7231","7628"
"05.06.2018 12:00 - 05.06.2018 13:00","7204","7617"
"05.06.2018 13:00 - 05.06.2018 14:00","6921","7328"
"05.06.2018 14:00 - 05.06.2018 15:00","6605","7026"
"05.06.2018 15:00 - 05.06.2018 16:00","6371","6774"
"05.06.2018 16:00 - 05.06.2018 17:00","6350","6701"
"05.06.2018 17:00 - 05.06.2018 18:00","6492","6734"
"05.06.2018 18:00 - 05.06.2018 19:00","6546","6759"
"05.06.2018 19:00 - 05.06.2018 20:00","6604","6820"
"05.06.2018 20:00 - 05.06.2018 21:00","6810","7007"
"05.06.2018 21:00 - 05.06.2018 22:00","6362","6551"
"05.06.2018 22:00 - 05.06.2018 23:00","5971","6097"
"05.06.2018 23:00 - 06.06.2018 00:00","5586","5602"
"06.06.2018 00:00 - 06.06.2018 01:00","5186","5249"
"06.06.2018 01:00 - 06.06.2018 02:00","4976","5108"
"06.06.2018 02:00 - 06.06.2018 03:00","4837","4922"
"06.06.2018 03:00 - 06.06.2018 04:00","4776","4915"
"06.06.2018 04:00 - 06.06.2018 05:00","4846","4929"
"06.06.2018 05:00 - 06.06.2018 06:00","4985","5115"
"06.06.2018 06:00 - 06.06.2018 07:00","5636","5742"
"06.06.2018 07:00 - 06.06.2018 08:00","6330","6452"
"06.06.2018 08:00 - 06.06.2018 09:00","6848","7056"
"06.06.2018 09:00 - 06.06.2018 10:00","7121","7386"
"06.06.2018 10:00 - 06.06.2018 11:00","7301","7634"
"06.06.2018 11:00 - 06.06.2018 12:00","7379","7687"
"06.06.2018 12:00 - 06.06.2018 13:00","7363","7696"
"06.06.2018 13:00 - 06.06.2018 14:00","7142","7468"
"06.06.2018 14:00 - 06.06.2018 15:00","6814","7115"
"06.06.2018 15:00 - 06.06.2018 16:00","6562","6888"
"06.06.2018 16:00 - 06.06.2018 17:00","6573","6821"
"06.06.2018 17:00 - 06.06.2018 18:00","6686","6857"
"06.06.2018 18:00 - 06.06.2018 19:00","6722","6837"
"06.06.2018 19:00 - 06.06.2018 20:00","6841","6922"
"06.06.2018 20:00 - 06.06.2018 21:00","7085","7171"
"06.06.2018 21:00 - 06.06.2018 22:00","6586","6772"
"06.06.2018 22:00 - 06.06.2018 23:00","6106","6408"
"06.06.2018 23:00 - 07.06.2018 00:00","5725","5836"
"07.06.2018 00:00 - 07.06.2018 01:00","5305","5420"
"07.06.2018 01:00 - 07.06.2018 02:00","5116","5200"
"07.06.2018 02:00 - 07.06.2018 03:00","4936","5071"
"07.06.2018 03:00 - 07.06.2018 04:00","4905","5015"
"07.06.2018 04:00 - 07.06.2018 05:00","4955","5021"
"07.06.2018 05:00 - 07.06.2018 06:00","5113","5141"
"07.06.2018 06:00 - 07.06.2018 07:00","5785","5772"
"07.06.2018 07:00 - 07.06.2018 08:00","6482","6576"
"07.06.2018 08:00 - 07.06.2018 09:00","7035","7177"
"07.06.2018 09:00 - 07.06.2018 10:00","7359","7505"
"07.06.2018 10:00 - 07.06.2018 11:00","7528","7767"
"07.06.2018 11:00 - 07.06.2018 12:00","7653","7927"
"07.06.2018 12:00 - 07.06.2018 13:00","7642","7979"
"07.06.2018 13:00 - 07.06.2018 14:00","7438","7744"
"07.06.2018 14:00 - 07.06.2018 15:00","7142","7418"
"07.06.2018 15:00 - 07.06.2018 16:00","6891","7247"
"07.06.2018 16:00 - 07.06.2018 17:00","6798","7225"
"07.06.2018 17:00 - 07.06.2018 18:00","6831","7229"
"07.06.2018 18:00 - 07.06.2018 19:00","6848","7151"
"07.06.2018 19:00 - 07.06.2018 20:00","6920","7151"
"07.06.2018 20:00 - 07.06.2018 21:00","7223","7312"
"07.06.2018 21:00 - 07.06.2018 22:00","6713","6914"
"07.06.2018 22:00 - 07.06.2018 23:00","6265","6524"
"07.06.2018 23:00 - 08.06.2018 00:00","5857","5960"
"08.06.2018 00:00 - 08.06.2018 01:00","5437","5568"
"08.06.2018 01:00 - 08.06.2018 02:00","5207","5325"
"08.06.2018 02:00 - 08.06.2018 03:00","5067","5195"
"08.06.2018 03:00 - 08.06.2018 04:00","5017","5092"
"08.06.2018 04:00 - 08.06.2018 05:00","5047","5083"
"08.06.2018 05:00 - 08.06.2018 06:00","5179","5200"
"08.06.2018 06:00 - 08.06.2018 07:00","5862","5830"
"08.06.2018 07:00 - 08.06.2018 08:00","6630","6532"
"08.06.2018 08:00 - 08.06.2018 09:00","7213","7139"
"08.06.2018 09:00 - 08.06.2018 10:00","7555","7468"
"08.06.2018 10:00 - 08.06.2018 11:00","7720","7696"
"08.06.2018 11:00 - 08.06.2018 12:00","7745","7832"
"08.06.2018 12:00 - 08.06.2018 13:00","7719","7877"
"08.06.2018 13:00 - 08.06.2018 14:00","7501","7693"
"08.06.2018 14:00 - 08.06.2018 15:00","7128","7381"
"08.06.2018 15:00 - 08.06.2018 16:00","6982","7165"
"08.06.2018 16:00 - 08.06.2018 17:00","6959","7137"
"08.06.2018 17:00 - 08.06.2018 18:00","7030","7145"
"08.06.2018 18:00 - 08.06.2018 19:00","6970","7039"
"08.06.2018 19:00 - 08.06.2018 20:00","7012","6985"
"08.06.2018 20:00 - 08.06.2018 21:00","7255","7168"
"08.06.2018 21:00 - 08.06.2018 22:00","6836","6803"
"08.06.2018 22:00 - 08.06.2018 23:00","6456","6437"
"08.06.2018 23:00 - 09.06.2018 00:00","6128","5957"
"09.06.2018 00:00 - 09.06.2018 01:00","5698","5606"
"09.06.2018 01:00 - 09.06.2018 02:00","5438","5341"
"09.06.2018 02:00 - 09.06.2018 03:00","5238","5196"
"09.06.2018 03:00 - 09.06.2018 04:00","5148","5130"
"09.06.2018 04:00 - 09.06.2018 05:00","5107","5121"
"09.06.2018 05:00 - 09.06.2018 06:00","5048","5055"
"09.06.2018 06:00 - 09.06.2018 07:00","5453","5391"
"09.06.2018 07:00 - 09.06.2018 08:00","6039","5998"
"09.06.2018 08:00 - 09.06.2018 09:00","6631","6566"
"09.06.2018 09:00 - 09.06.2018 10:00","7019","6933"
"09.06.2018 10:00 - 09.06.2018 11:00","7231","7180"
"09.06.2018 11:00 - 09.06.2018 12:00","7350","7341"
"09.06.2018 12:00 - 09.06.2018 13:00","7365","7374"
"09.06.2018 13:00 - 09.06.2018 14:00","7091","7131"
"09.06.2018 14:00 - 09.06.2018 15:00","6808","6940"
"09.06.2018 15:00 - 09.06.2018 16:00","6674","6807"
"09.06.2018 16:00 - 09.06.2018 17:00","6722","6710"
"09.06.2018 17:00 - 09.06.2018 18:00","6773","6736"
"09.06.2018 18:00 - 09.06.2018 19:00","6786","6707"
"09.06.2018 19:00 - 09.06.2018 20:00","6864","6612"
"09.06.2018 20:00 - 09.06.2018 21:00","7155","6838"
"09.06.2018 21:00 - 09.06.2018 22:00","6806","6489"
"09.06.2018 22:00 - 09.06.2018 23:00","6437","6037"
"09.06.2018 23:00 - 10.06.2018 00:00","6006","5621"
"10.06.2018 00:00 - 10.06.2018 01:00","5636","5290"
"10.06.2018 01:00 - 10.06.2018 02:00","5366","5030"
"10.06.2018 02:00 - 10.06.2018 03:00","5176","4859"
"10.06.2018 03:00 - 10.06.2018 04:00","5066","4792"
"10.06.2018 04:00 - 10.06.2018 05:00","5015","4738"
"10.06.2018 05:00 - 10.06.2018 06:00","4884","4586"
"10.06.2018 06:00 - 10.06.2018 07:00","5100","4793"
"10.06.2018 07:00 - 10.06.2018 08:00","5468","5262"
"10.06.2018 08:00 - 10.06.2018 09:00","5877","5696"
"10.06.2018 09:00 - 10.06.2018 10:00","6244","6089"
"10.06.2018 10:00 - 10.06.2018 11:00","6563","6388"
"10.06.2018 11:00 - 10.06.2018 12:00","6702","6611"
"10.06.2018 12:00 - 10.06.2018 13:00","6637","6479"
"10.06.2018 13:00 - 10.06.2018 14:00","6339","6113"
"10.06.2018 14:00 - 10.06.2018 15:00","6149","5836"
"10.06.2018 15:00 - 10.06.2018 16:00","6109","5737"
"10.06.2018 16:00 - 10.06.2018 17:00","6184","5740"
"10.06.2018 17:00 - 10.06.2018 18:00","6293","5822"
"10.06.2018 18:00 - 10.06.2018 19:00","6370","5880"
"10.06.2018 19:00 - 10.06.2018 20:00","6491","6021"
"10.06.2018 20:00 - 10.06.2018 21:00","6855","6410"
"10.06.2018 21:00 - 10.06.2018 22:00","6745","6277"
"10.06.2018 22:00 - 10.06.2018 23:00","6395","5854"
"10.06.2018 23:00 - 11.06.2018 00:00","5677","5341"
"11.06.2018 00:00 - 11.06.2018 01:00","5277","4941"
"11.06.2018 01:00 - 11.06.2018 02:00","5057","4753"
"11.06.2018 02:00 - 11.06.2018 03:00","4907","4597"
"11.06.2018 03:00 - 11.06.2018 04:00","4847","4570"
"11.06.2018 04:00 - 11.06.2018 05:00","4896","4597"
"11.06.2018 05:00 - 11.06.2018 06:00","5058","4700"
"11.06.2018 06:00 - 11.06.2018 07:00","5687","5362"
"11.06.2018 07:00 - 11.06.2018 08:00","6434","6116"
"11.06.2018 08:00 - 11.06.2018 09:00","6991","6576"
"11.06.2018 09:00 - 11.06.2018 10:00","7307","6883"
"11.06.2018 10:00 - 11.06.2018 11:00","7538","7109"
"11.06.2018 11:00 - 11.06.2018 12:00","7674","7232"
"11.06.2018 12:00 - 11.06.2018 13:00","7709","7353"
"11.06.2018 13:00 - 11.06.2018 14:00","7545","7223"
"11.06.2018 14:00 - 11.06.2018 15:00","7273","6945"
"11.06.2018 15:00 - 11.06.2018 16:00","6963","6798"
"11.06.2018 16:00 - 11.06.2018 17:00","6839","6636"
"11.06.2018 17:00 - 11.06.2018 18:00","6895","6590"
"11.06.2018 18:00 - 11.06.2018 19:00","6871","6617"
"11.06.2018 19:00 - 11.06.2018 20:00","6943","6698"
"11.06.2018 20:00 - 11.06.2018 21:00","7264","6928"
"11.06.2018 21:00 - 11.06.2018 22:00","6905","6563"
"11.06.2018 22:00 - 11.06.2018 23:00","6546","6226"
"11.06.2018 23:00 - 12.06.2018 00:00","5746","5734"
"12.06.2018 00:00 - 12.06.2018 01:00","5326","5264"
"12.06.2018 01:00 - 12.06.2018 02:00","5076","4995"
"12.06.2018 02:00 - 12.06.2018 03:00","4905","4847"
"12.06.2018 03:00 - 12.06.2018 04:00","4845","4766"
"12.06.2018 04:00 - 12.06.2018 05:00","4865","4818"
"12.06.2018 05:00 - 12.06.2018 06:00","4981","4980"
"12.06.2018 06:00 - 12.06.2018 07:00","5593","5654"
"12.06.2018 07:00 - 12.06.2018 08:00","6329","6445"
"12.06.2018 08:00 - 12.06.2018 09:00","6908","7072"
"12.06.2018 09:00 - 12.06.2018 10:00","7225","7431"
"12.06.2018 10:00 - 12.06.2018 11:00","7447","7679"
"12.06.2018 11:00 - 12.06.2018 12:00","7607","7820"
"12.06.2018 12:00 - 12.06.2018 13:00","7612","7863"
"12.06.2018 13:00 - 12.06.2018 14:00","7429","7652"
"12.06.2018 14:00 - 12.06.2018 15:00","7106","7357"
"12.06.2018 15:00 - 12.06.2018 16:00","6819","7195"
"12.06.2018 16:00 - 12.06.2018 17:00","6806","7171"
"12.06.2018 17:00 - 12.06.2018 18:00","6935","7183"
"12.06.2018 18:00 - 12.06.2018 19:00","6946","7179"
"12.06.2018 19:00 - 12.06.2018 20:00","6993","7201"
"12.06.2018 20:00 - 12.06.2018 21:00","7234","7332"
"12.06.2018 21:00 - 12.06.2018 22:00","6904","6944"
"12.06.2018 22:00 - 12.06.2018 23:00","6524","6538"
"12.06.2018 23:00 - 13.06.2018 00:00","5896","5995"
"13.06.2018 00:00 - 13.06.2018 01:00","5446","5578"
"13.06.2018 01:00 - 13.06.2018 02:00","5206","5340"
"13.06.2018 02:00 - 13.06.2018 03:00","5045","5190"
"13.06.2018 03:00 - 13.06.2018 04:00","4985","5138"
"13.06.2018 04:00 - 13.06.2018 05:00","5025","5135"
"13.06.2018 05:00 - 13.06.2018 06:00","5170","5295"
"13.06.2018 06:00 - 13.06.2018 07:00","5851","5915"
"13.06.2018 07:00 - 13.06.2018 08:00","6586","6683"
"13.06.2018 08:00 - 13.06.2018 09:00","7202","7265"
"13.06.2018 09:00 - 13.06.2018 10:00","7491","7645"
"13.06.2018 10:00 - 13.06.2018 11:00","7685","7835"
"13.06.2018 11:00 - 13.06.2018 12:00","7790","8033"
"13.06.2018 12:00 - 13.06.2018 13:00","7821","8112"
"13.06.2018 13:00 - 13.06.2018 14:00","7534","7937"
"13.06.2018 14:00 - 13.06.2018 15:00","7251","7657"
"13.06.2018 15:00 - 13.06.2018 16:00","7041","7386"
"13.06.2018 16:00 - 13.06.2018 17:00","6973","7175"
"13.06.2018 17:00 - 13.06.2018 18:00","7032","6988"
"13.06.2018 18:00 - 13.06.2018 19:00","7012","7007"
"13.06.2018 19:00 - 13.06.2018 20:00","6972","6966"
"13.06.2018 20:00 - 13.06.2018 21:00","7204","7161"
"13.06.2018 21:00 - 13.06.2018 22:00","6854","6883"
"13.06.2018 22:00 - 13.06.2018 23:00","6504","6532"
"13.06.2018 23:00 - 14.06.2018 00:00","6123","5985"
"14.06.2018 00:00 - 14.06.2018 01:00","5653","5796"
"14.06.2018 01:00 - 14.06.2018 02:00","5403","5334"
"14.06.2018 02:00 - 14.06.2018 03:00","5253","5196"
"14.06.2018 03:00 - 14.06.2018 04:00","5182","5188"
"14.06.2018 04:00 - 14.06.2018 05:00","5201","5133"
"14.06.2018 05:00 - 14.06.2018 06:00","5352","5294"
"14.06.2018 06:00 - 14.06.2018 07:00","6013","5901"
"14.06.2018 07:00 - 14.06.2018 08:00","6744","6574"
"14.06.2018 08:00 - 14.06.2018 09:00","7223","7208"
"14.06.2018 09:00 - 14.06.2018 10:00","7539","7535"
"14.06.2018 10:00 - 14.06.2018 11:00","7743","7741"
"14.06.2018 11:00 - 14.06.2018 12:00","7855","7881"
"14.06.2018 12:00 - 14.06.2018 13:00","7870","7861"
"14.06.2018 13:00 - 14.06.2018 14:00","7697","7695"
"14.06.2018 14:00 - 14.06.2018 15:00","7418","7432"
"14.06.2018 15:00 - 14.06.2018 16:00","7246","7197"
"14.06.2018 16:00 - 14.06.2018 17:00","7263","7139"
"14.06.2018 17:00 - 14.06.2018 18:00","7304","7119"
"14.06.2018 18:00 - 14.06.2018 19:00","7278","7013"
"14.06.2018 19:00 - 14.06.2018 20:00","7209","6931"
"14.06.2018 20:00 - 14.06.2018 21:00","7400","7045"
"14.06.2018 21:00 - 14.06.2018 22:00","7061","6658"
"14.06.2018 22:00 - 14.06.2018 23:00","6680","6341"
"14.06.2018 23:00 - 15.06.2018 00:00","5942","5802"
"15.06.2018 00:00 - 15.06.2018 01:00","5533","5480"
"15.06.2018 01:00 - 15.06.2018 02:00","5292","5236"
"15.06.2018 02:00 - 15.06.2018 03:00","5152","5094"
"15.06.2018 03:00 - 15.06.2018 04:00","5092","5058"
"15.06.2018 04:00 - 15.06.2018 05:00","5102","5045"
"15.06.2018 05:00 - 15.06.2018 06:00","5262","5176"
"15.06.2018 06:00 - 15.06.2018 07:00","5895","5751"
"15.06.2018 07:00 - 15.06.2018 08:00","6539","6339"
"15.06.2018 08:00 - 15.06.2018 09:00","7046","6898"
"15.06.2018 09:00 - 15.06.2018 10:00","7304","7184"
"15.06.2018 10:00 - 15.06.2018 11:00","7431","7314"
"15.06.2018 11:00 - 15.06.2018 12:00","7512","7356"
"15.06.2018 12:00 - 15.06.2018 13:00","7463","7282"
"15.06.2018 13:00 - 15.06.2018 14:00","7199","7065"
"15.06.2018 14:00 - 15.06.2018 15:00","6905","6801"
"15.06.2018 15:00 - 15.06.2018 16:00","6702","6542"
"15.06.2018 16:00 - 15.06.2018 17:00","6678","6416"
"15.06.2018 17:00 - 15.06.2018 18:00","6793","6358"
"15.06.2018 18:00 - 15.06.2018 19:00","6859","6285"
"15.06.2018 19:00 - 15.06.2018 20:00","6933","6367"
"15.06.2018 20:00 - 15.06.2018 21:00","7101","6487"
"15.06.2018 21:00 - 15.06.2018 22:00","6751","6186"
"15.06.2018 22:00 - 15.06.2018 23:00","6401","5850"
"15.06.2018 23:00 - 16.06.2018 00:00","5761","5477"
"16.06.2018 00:00 - 16.06.2018 01:00","5372","5191"
"16.06.2018 01:00 - 16.06.2018 02:00","5141","4984"
"16.06.2018 02:00 - 16.06.2018 03:00","5001","4842"
"16.06.2018 03:00 - 16.06.2018 04:00","4931","4806"
"16.06.2018 04:00 - 16.06.2018 05:00","4932","4789"
"16.06.2018 05:00 - 16.06.2018 06:00","4881","4746"
"16.06.2018 06:00 - 16.06.2018 07:00","5305","4987"
"16.06.2018 07:00 - 16.06.2018 08:00","5871","5426"
"16.06.2018 08:00 - 16.06.2018 09:00","6371","5828"
"16.06.2018 09:00 - 16.06.2018 10:00","6656","6154"
"16.06.2018 10:00 - 16.06.2018 11:00","6799","6387"
"16.06.2018 11:00 - 16.06.2018 12:00","6934","6493"
"16.06.2018 12:00 - 16.06.2018 13:00","6900","6485"
"16.06.2018 13:00 - 16.06.2018 14:00","6614","6175"
"16.06.2018 14:00 - 16.06.2018 15:00","6328","5812"
"16.06.2018 15:00 - 16.06.2018 16:00","6217","5729"
"16.06.2018 16:00 - 16.06.2018 17:00","6139","5758"
"16.06.2018 17:00 - 16.06.2018 18:00","6288","5733"
"16.06.2018 18:00 - 16.06.2018 19:00","6340","5760"
"16.06.2018 19:00 - 16.06.2018 20:00","6433","5879"
"16.06.2018 20:00 - 16.06.2018 21:00","6650","6141"
"16.06.2018 21:00 - 16.06.2018 22:00","6340","5837"
"16.06.2018 22:00 - 16.06.2018 23:00","6000","5477"
"16.06.2018 23:00 - 17.06.2018 00:00","5321","5097"
"17.06.2018 00:00 - 17.06.2018 01:00","4972","4774"
"17.06.2018 01:00 - 17.06.2018 02:00","4761","4548"
"17.06.2018 02:00 - 17.06.2018 03:00","4631","4397"
"17.06.2018 03:00 - 17.06.2018 04:00","4521","4339"
"17.06.2018 04:00 - 17.06.2018 05:00","4502","4294"
"17.06.2018 05:00 - 17.06.2018 06:00","4426","4142"
"17.06.2018 06:00 - 17.06.2018 07:00","4621","4263"
"17.06.2018 07:00 - 17.06.2018 08:00","5039","4651"
"17.06.2018 08:00 - 17.06.2018 09:00","5448","5068"
"17.06.2018 09:00 - 17.06.2018 10:00","5827","5471"
"17.06.2018 10:00 - 17.06.2018 11:00","6088","5857"
"17.06.2018 11:00 - 17.06.2018 12:00","6264","6036"
"17.06.2018 12:00 - 17.06.2018 13:00","6161","5948"
"17.06.2018 13:00 - 17.06.2018 14:00","5838","5571"
"17.06.2018 14:00 - 17.06.2018 15:00","5649","5144"
"17.06.2018 15:00 - 17.06.2018 16:00","5565","4981"
"17.06.2018 16:00 - 17.06.2018 17:00","5574","5085"
"17.06.2018 17:00 - 17.06.2018 18:00","5611","5209"
"17.06.2018 18:00 - 17.06.2018 19:00","5624","5284"
"17.06.2018 19:00 - 17.06.2018 20:00","5786","5508"
"17.06.2018 20:00 - 17.06.2018 21:00","6200","5867"
"17.06.2018 21:00 - 17.06.2018 22:00","6050","5697"
"17.06.2018 22:00 - 17.06.2018 23:00","5650","5369"
"17.06.2018 23:00 - 18.06.2018 00:00","4933","4890"
"18.06.2018 00:00 - 18.06.2018 01:00","4553","4519"
"18.06.2018 01:00 - 18.06.2018 02:00","4362","4307"
"18.06.2018 02:00 - 18.06.2018 03:00","4281","4244"
"18.06.2018 03:00 - 18.06.2018 04:00","4242","4210"
"18.06.2018 04:00 - 18.06.2018 05:00","4342","4300"
"18.06.2018 05:00 - 18.06.2018 06:00","4478","4423"
"18.06.2018 06:00 - 18.06.2018 07:00","5012","4986"
"18.06.2018 07:00 - 18.06.2018 08:00","5689","5759"
"18.06.2018 08:00 - 18.06.2018 09:00","6206","6266"
"18.06.2018 09:00 - 18.06.2018 10:00","6433","6483"
"18.06.2018 10:00 - 18.06.2018 11:00","6603","6784"
"18.06.2018 11:00 - 18.06.2018 12:00","6706","6861"
"18.06.2018 12:00 - 18.06.2018 13:00","6749","6897"
"18.06.2018 13:00 - 18.06.2018 14:00","6537","6635"
"18.06.2018 14:00 - 18.06.2018 15:00","6149","6229"
"18.06.2018 15:00 - 18.06.2018 16:00","5929","6050"
"18.06.2018 16:00 - 18.06.2018 17:00","5868","5992"
"18.06.2018 17:00 - 18.06.2018 18:00","5949","6041"
"18.06.2018 18:00 - 18.06.2018 19:00","6081","6073"
"18.06.2018 19:00 - 18.06.2018 20:00","6197","6185"
"18.06.2018 20:00 - 18.06.2018 21:00","6513","6377"
"18.06.2018 21:00 - 18.06.2018 22:00","6053","5975"
"18.06.2018 22:00 - 18.06.2018 23:00","5612","5641"
"18.06.2018 23:00 - 19.06.2018 00:00","5126","5129"
"19.06.2018 00:00 - 19.06.2018 01:00","4737","4754"
"19.06.2018 01:00 - 19.06.2018 02:00","4506","4572"
"19.06.2018 02:00 - 19.06.2018 03:00","4426","4447"
"19.06.2018 03:00 - 19.06.2018 04:00","4416","4393"
"19.06.2018 04:00 - 19.06.2018 05:00","4465","4467"
"19.06.2018 05:00 - 19.06.2018 06:00","4628","4626"
"19.06.2018 06:00 - 19.06.2018 07:00","5157","5177"
"19.06.2018 07:00 - 19.06.2018 08:00","5789","5833"
"19.06.2018 08:00 - 19.06.2018 09:00","6271","6368"
"19.06.2018 09:00 - 19.06.2018 10:00","6542","6684"
"19.06.2018 10:00 - 19.06.2018 11:00","6726","6828"
"19.06.2018 11:00 - 19.06.2018 12:00","6856","6867"
"19.06.2018 12:00 - 19.06.2018 13:00","6780","6789"
"19.06.2018 13:00 - 19.06.2018 14:00","6478","6549"
"19.06.2018 14:00 - 19.06.2018 15:00","6179","6241"
"19.06.2018 15:00 - 19.06.2018 16:00","6005","6069"
"19.06.2018 16:00 - 19.06.2018 17:00","5962","6056"
"19.06.2018 17:00 - 19.06.2018 18:00","5955","6047"
"19.06.2018 18:00 - 19.06.2018 19:00","5982","6043"
"19.06.2018 19:00 - 19.06.2018 20:00","6141","6152"
"19.06.2018 20:00 - 19.06.2018 21:00","6405","6284"
"19.06.2018 21:00 - 19.06.2018 22:00","6006","5927"
"19.06.2018 22:00 - 19.06.2018 23:00","5586","5652"
"19.06.2018 23:00 - 20.06.2018 00:00","5229","5178"
"20.06.2018 00:00 - 20.06.2018 01:00","4818","4819"
"20.06.2018 01:00 - 20.06.2018 02:00","4627","4598"
"20.06.2018 02:00 - 20.06.2018 03:00","4528","4495"
"20.06.2018 03:00 - 20.06.2018 04:00","4487","4435"
"20.06.2018 04:00 - 20.06.2018 05:00","4556","4511"
"20.06.2018 05:00 - 20.06.2018 06:00","4695","4663"
"20.06.2018 06:00 - 20.06.2018 07:00","5302","5241"
"20.06.2018 07:00 - 20.06.2018 08:00","5979","5913"
"20.06.2018 08:00 - 20.06.2018 09:00","6499","6443"
"20.06.2018 09:00 - 20.06.2018 10:00","6776","6759"
"20.06.2018 10:00 - 20.06.2018 11:00","6948","6942"
"20.06.2018 11:00 - 20.06.2018 12:00","7033","7051"
"20.06.2018 12:00 - 20.06.2018 13:00","6987","7055"
