ParticipantID,BatteryChargeStartMonth,BatteryChargeStartDay,BatteryChargeStartHour,BatteryChargeStopMonth,BatteryChargeStopDay,BatteryChargeStopHour,ChargingTime(min),Starting_SoC,Ending_SoC,SoC_Diff
GC10,3,9,21,3,10,6,514.0,0.17,1.0,0.83
GC10,3,10,6,3,10,9,161.0,0.75,0.92,0.17
GC10,3,10,9,3,10,11,133.0,0.92,1.0,0.08
GC10,3,10,12,3,10,12,25.0,1.0,1.0,0.0
GC10,3,10,16,3,10,19,224.0,0.5,0.92,0.42
GC10,3,10,20,3,10,23,170.0,0.92,1.0,0.08
GC10,3,11,13,3,11,16,169.0,0.42,0.67,0.25
GC10,3,11,23,3,12,7,452.0,0.08,0.83,0.75
GC10,3,12,15,3,12,15,7.0,0.83,0.83,0.0
GC10,3,12,21,3,13,7,584.0,0.17,1.0,0.83
GC10,3,13,8,3,13,12,218.0,0.83,1.0,0.17
GC10,3,14,8,3,14,13,314.0,0.42,0.92,0.5
GC10,3,14,14,3,14,14,18.0,0.92,0.92,0.0
GC10,3,14,15,3,14,19,195.0,0.42,0.67,0.25
GC10,3,15,20,3,15,21,60.0,0.42,0.92,0.5
GC10,3,16,19,3,17,6,658.0,0.08,1.0,0.92
GC10,3,17,7,3,17,11,238.0,0.75,1.0,0.25
GC10,3,17,16,3,17,19,131.0,0.92,1.0,0.08
GC10,3,18,7,3,18,15,446.0,0.42,1.0,0.58
GC10,3,18,21,3,19,3,316.0,0.67,1.0,0.33
GC10,3,19,11,3,19,13,154.0,0.92,1.0,0.08
GC10,3,20,9,3,20,14,282.0,0.42,0.92,0.5
GC10,3,20,21,3,21,5,464.0,0.42,1.0,0.58
GC10,3,22,20,3,23,1,319.0,0.58,1.0,0.42
GC10,3,27,19,3,27,19,22.0,0.33,0.75,0.42
GC10,3,27,20,3,27,21,59.0,0.17,0.92,0.75
GC10,3,28,9,3,28,10,60.0,0.17,0.83,0.66
GC10,3,30,16,3,30,17,33.0,0.33,0.75,0.42
GC10,3,30,18,3,30,19,58.0,0.08,0.92,0.84
GC10,3,30,20,3,30,21,51.0,0.0,0.92,0.92
GC10,3,31,8,3,31,14,329.0,0.58,1.0,0.42
GC10,3,31,20,4,1,2,340.0,0.58,1.0,0.42
GC10,4,1,18,4,2,4,611.0,0.17,1.0,0.83
GC10,4,2,12,4,2,15,217.0,0.67,1.0,0.33
GC10,4,3,8,4,3,13,302.0,0.58,1.0,0.42
GC10,4,3,13,4,3,14,78.0,1.0,1.0,0.0
GC10,4,4,7,4,4,14,433.0,0.42,1.0,0.58
GC10,4,4,21,4,5,1,244.0,0.75,1.0,0.25
GC10,4,5,19,4,6,4,513.0,0.33,1.0,0.67
GC10,4,7,8,4,7,10,91.0,0.58,0.67,0.09
GC10,4,7,10,4,7,14,228.0,0.67,1.0,0.33
GC10,4,7,18,4,7,20,96.0,0.92,1.0,0.08
GC10,4,8,6,4,8,8,110.0,0.5,0.67,0.17
GC10,4,8,10,4,8,11,53.0,0.67,0.83,0.16
GC10,4,8,19,4,9,2,449.0,0.42,1.0,0.58
GC10,4,9,6,4,9,8,169.0,0.75,1.0,0.25
GC10,4,9,10,4,9,13,184.0,0.75,1.0,0.25
GC10,4,9,20,4,10,4,485.0,0.42,1.0,0.58
GC10,4,10,9,4,10,12,197.0,0.83,1.0,0.17
GC10,4,10,17,4,10,17,57.0,0.25,0.92,0.67
GC10,4,11,10,4,11,11,60.0,0.17,0.83,0.66
GC10,4,13,13,4,13,14,60.0,0.58,0.92,0.34
GC10,4,13,17,4,13,18,55.0,0.08,0.92,0.84
GC10,4,13,19,4,13,20,49.0,0.17,0.92,0.75
GC10,4,14,7,4,14,10,203.0,0.58,0.92,0.34
GC10,4,14,13,4,14,16,140.0,0.92,1.0,0.08
GC10,4,15,6,4,15,9,177.0,0.42,0.75,0.33
GC10,4,15,10,4,15,15,310.0,0.5,0.92,0.42
GC10,4,15,15,4,15,16,21.0,0.92,0.92,0.0
GC10,4,15,20,4,16,2,360.0,0.58,1.0,0.42
GC10,4,16,14,4,16,14,29.0,0.5,0.83,0.33
GC10,4,17,7,4,17,8,71.0,0.33,0.42,0.09
GC10,4,17,9,4,17,10,42.0,0.25,0.83,0.58
GC10,4,17,19,4,18,6,642.0,0.08,1.0,0.92
GC10,4,18,21,4,19,5,451.0,0.42,1.0,0.58
GC10,4,19,18,4,20,2,430.0,0.5,1.0,0.5
GC10,4,20,19,4,21,0,341.0,0.58,1.0,0.42
GC10,4,21,21,4,22,2,289.0,0.67,1.0,0.33
GC10,4,22,6,4,22,9,168.0,0.83,1.0,0.17
GC10,4,22,11,4,22,12,77.0,1.0,1.0,0.0
GC10,4,22,21,4,23,2,301.0,0.58,1.0,0.42
GC10,4,23,6,4,23,9,140.0,0.83,1.0,0.17
GC10,4,23,11,4,23,13,82.0,0.75,0.83,0.08
GC10,4,23,14,4,23,17,178.0,0.83,1.0,0.17
GC10,4,24,6,4,24,12,327.0,0.42,1.0,0.58
GC10,4,24,15,4,24,15,15.0,0.92,0.92,0.0
GC10,4,25,12,4,25,14,141.0,0.83,1.0,0.17
GC10,4,25,21,4,26,5,480.0,0.33,1.0,0.67
GC10,4,26,14,4,26,16,85.0,0.75,0.92,0.17
GC10,4,27,20,4,27,20,3.0,0.42,0.42,0.0
GC10,4,27,20,4,28,0,248.0,0.42,0.75,0.33
GC10,4,28,7,4,28,11,199.0,0.83,1.0,0.17
GC10,4,29,22,4,30,5,459.0,0.42,1.0,0.58
GC10,4,30,8,4,30,9,100.0,0.75,0.92,0.17
GC10,4,30,10,4,30,12,142.0,0.92,1.0,0.08
GC10,4,30,16,4,30,16,40.0,0.92,0.92,0.0
GC10,4,30,23,5,1,7,506.0,0.33,1.0,0.67
GC10,5,1,18,5,1,23,265.0,0.67,1.0,0.33
GC10,5,2,11,5,2,11,13.0,0.75,0.75,0.0
GC10,5,2,11,5,2,15,222.0,0.75,1.0,0.25
GC10,5,3,23,5,4,5,364.0,0.17,0.75,0.58
GC10,5,4,17,5,4,21,198.0,0.83,1.0,0.17
GC10,5,5,8,5,5,11,171.0,0.75,1.0,0.25
GC10,5,6,11,5,6,13,136.0,0.33,0.5,0.17
GC10,5,6,14,5,6,14,36.0,0.5,0.92,0.42
GC10,5,6,18,5,7,0,340.0,0.58,1.0,0.42
GC10,5,7,19,5,7,20,58.0,0.08,0.92,0.84
GC10,5,8,8,5,8,9,63.0,0.5,0.58,0.08
GC10,5,8,9,5,8,15,323.0,0.58,1.0,0.42
GC10,5,8,16,5,8,17,53.0,0.33,1.0,0.67
GC10,5,9,6,5,9,7,60.0,0.25,0.92,0.67
GC10,5,11,7,5,11,8,60.0,0.25,0.92,0.67
GC10,5,11,13,5,11,13,41.0,0.25,0.92,0.67
GC10,5,11,18,5,11,19,49.0,0.08,0.92,0.84
GC10,5,12,9,5,12,16,383.0,0.25,0.83,0.58
GC10,5,13,10,5,13,14,241.0,0.42,0.75,0.33
GC10,5,13,18,5,14,0,400.0,0.5,1.0,0.5
GC10,5,14,8,5,14,9,54.0,0.0,0.92,0.92
GC10,5,14,12,5,14,13,55.0,0.25,0.92,0.67
GC10,5,16,16,5,16,17,28.0,0.17,0.75,0.58
GC10,5,16,18,5,16,19,45.0,0.08,0.83,0.75
GC10,5,17,13,5,17,14,41.0,0.08,0.83,0.75
GC10,5,18,19,5,19,4,541.0,0.25,1.0,0.75
GC10,5,19,6,5,19,8,154.0,0.83,1.0,0.17
GC10,5,19,10,5,19,11,81.0,1.0,1.0,0.0
GC10,5,20,11,5,20,12,70.0,0.42,0.5,0.08
GC10,5,20,14,5,20,17,175.0,0.58,0.83,0.25
GC10,5,20,17,5,20,20,184.0,0.83,1.0,0.17
GC10,5,21,7,5,21,11,232.0,0.67,1.0,0.33
GC10,5,24,22,5,25,7,563.0,0.17,1.0,0.83
GC10,5,25,21,5,26,3,396.0,0.5,1.0,0.5
GC10,5,26,11,5,26,16,296.0,0.58,1.0,0.42
GC10,5,27,7,5,27,12,309.0,0.58,1.0,0.42
GC10,5,27,17,5,27,19,106.0,0.92,1.0,0.08
GC10,5,28,7,5,28,13,378.0,0.5,1.0,0.5
GC10,5,29,6,5,29,9,185.0,0.58,0.83,0.25
GC10,5,29,9,5,29,13,195.0,0.83,1.0,0.17
GC10,5,30,7,5,30,8,30.0,0.25,0.83,0.58
GC10,5,30,8,5,30,9,36.0,0.33,0.92,0.59
GC10,5,31,6,5,31,7,59.0,0.08,0.92,0.84
GC10,6,1,13,6,1,14,53.0,0.25,0.92,0.67
GC10,6,1,16,6,1,17,55.0,0.08,0.92,0.84
GC10,6,2,9,6,2,16,420.0,0.42,1.0,0.58
GC10,6,3,6,6,3,9,177.0,0.58,0.83,0.25
GC10,6,3,12,6,3,14,132.0,0.83,1.0,0.17
GC10,6,4,6,6,4,15,541.0,0.25,1.0,0.75
GC10,6,5,7,6,5,9,115.0,0.67,0.83,0.16
GC10,6,5,9,6,5,10,111.0,0.83,1.0,0.17
GC10,6,5,13,6,5,15,90.0,0.92,1.0,0.08
GC10,6,6,10,6,6,17,394.0,0.5,1.0,0.5
GC10,6,8,0,6,8,10,604.0,0.17,1.0,0.83
GC10,6,8,20,6,8,22,111.0,0.92,1.0,0.08
GC10,6,9,14,6,9,17,130.0,0.92,1.0,0.08
GC10,6,10,14,6,10,15,46.0,1.0,1.0,0.0
GC10,6,10,19,6,10,19,27.0,1.0,1.0,0.0
GC10,6,11,9,6,11,13,241.0,0.58,1.0,0.42
GC10,6,11,15,6,11,16,92.0,1.0,1.0,0.0
GC10,6,12,11,6,12,16,310.0,0.5,1.0,0.5
GC10,6,15,19,6,16,0,296.0,0.33,0.75,0.42
GC10,6,16,7,6,16,7,11.0,0.83,0.83,0.0
GC10,6,19,20,6,19,20,38.0,0.25,0.92,0.67
GC10,6,21,20,6,21,20,1.0,0.17,0.17,0.0
GC10,6,21,20,6,22,6,581.0,0.17,1.0,0.83
GC10,6,23,12,6,23,14,81.0,0.58,0.67,0.09
GC10,6,23,23,6,24,0,36.0,0.25,0.83,0.58
GC10,6,24,15,6,24,15,43.0,0.25,0.92,0.67
GC10,6,24,20,6,24,21,44.0,0.5,0.58,0.08
GC10,6,24,21,6,25,3,327.0,0.58,1.0,0.42
GC10,6,25,7,6,25,9,126.0,0.83,1.0,0.17
GC10,6,25,10,6,25,12,90.0,1.0,1.0,0.0
GC10,6,25,22,6,26,3,336.0,0.58,1.0,0.42
GC10,6,26,10,6,26,13,167.0,0.83,1.0,0.17
GC10,6,26,17,6,26,18,68.0,1.0,1.0,0.0
GC10,6,27,17,6,27,17,35.0,1.0,1.0,0.0
GC10,6,28,9,6,28,10,58.0,0.42,1.0,0.58
GC10,6,29,0,6,29,7,441.0,0.42,1.0,0.58
GC10,6,29,21,6,30,4,421.0,0.42,1.0,0.58
GC10,6,30,8,6,30,11,179.0,0.83,1.0,0.17
GC10,6,30,19,6,30,22,187.0,0.75,1.0,0.25
GC10,7,1,15,7,1,16,51.0,0.08,0.92,0.84
GC10,7,1,20,7,2,1,304.0,0.58,1.0,0.42
GC10,7,2,8,7,2,8,40.0,0.83,0.83,0.0
GC10,7,2,10,7,2,15,308.0,0.58,1.0,0.42
GC10,7,2,15,7,2,15,25.0,1.0,1.0,0.0
GC10,7,2,20,7,2,20,0.0,0.75,0.75,0.0
GC10,7,3,7,7,3,10,183.0,0.83,1.0,0.17
GC10,7,3,19,7,3,20,93.0,0.08,0.17,0.09
GC10,7,3,20,7,3,21,61.0,0.17,0.25,0.08
GC10,7,3,21,7,4,6,526.0,0.25,1.0,0.75
GC10,7,4,7,7,4,8,41.0,0.83,0.83,0.0
GC10,7,4,10,7,4,12,116.0,0.83,1.0,0.17
GC10,7,4,14,7,4,14,35.0,1.0,1.0,0.0
GC10,7,4,23,7,5,6,379.0,0.5,1.0,0.5
GC10,7,5,22,7,6,4,361.0,0.5,1.0,0.5
GC10,7,6,21,7,7,2,340.0,0.5,1.0,0.5
GC10,7,8,11,7,8,14,227.0,0.33,0.67,0.34
GC10,7,8,19,7,9,3,462.0,0.33,1.0,0.67
GC10,7,9,6,7,9,9,158.0,0.83,1.0,0.17
GC10,7,9,22,7,10,5,412.0,0.5,1.0,0.5
GC10,7,10,8,7,10,10,169.0,0.83,1.0,0.17
GC10,7,11,0,7,11,1,33.0,1.0,1.0,0.0
GC10,7,11,22,7,12,9,641.0,0.08,1.0,0.92
GC10,7,12,12,7,12,15,181.0,0.83,1.0,0.17
GC10,7,13,20,7,14,2,360.0,0.58,1.0,0.42
GC10,7,14,14,7,14,17,184.0,0.42,0.67,0.25
GC10,7,15,10,7,15,18,453.0,0.17,0.92,0.75
GC10,7,15,23,7,16,6,408.0,0.42,1.0,0.58
GC10,7,16,20,7,17,1,255.0,0.67,1.0,0.33
GC10,7,17,22,7,18,1,194.0,0.5,0.75,0.25
GC10,7,18,7,7,18,11,187.0,0.83,1.0,0.17
GC10,7,18,18,7,19,4,596.0,0.17,1.0,0.83
GC10,7,19,18,7,20,0,357.0,0.5,1.0,0.5
GC10,7,20,17,7,21,5,680.0,0.08,1.0,0.92
GC10,7,21,22,7,22,6,512.0,0.25,1.0,0.75
GC10,7,22,8,7,22,9,67.0,0.83,0.92,0.09
GC10,7,22,10,7,22,11,67.0,0.75,0.83,0.08
GC10,7,22,12,7,22,15,189.0,0.83,1.0,0.17
GC10,7,22,20,7,22,21,64.0,1.0,1.0,0.0
GC10,7,23,7,7,23,9,86.0,0.67,0.75,0.08
GC10,7,23,10,7,23,15,326.0,0.58,1.0,0.42
GC10,7,23,20,7,24,1,293.0,0.67,1.0,0.33
GC10,7,24,8,7,24,11,176.0,0.83,1.0,0.17
GC10,7,24,14,7,24,14,33.0,1.0,1.0,0.0
GC10,7,24,21,7,24,22,39.0,0.67,0.92,0.25
GC10,7,25,8,7,25,12,256.0,0.67,1.0,0.33
GC10,7,25,18,7,25,18,14.0,0.25,0.58,0.33
GC10,7,25,20,7,25,20,32.0,0.42,0.92,0.5
GC10,7,27,20,7,28,3,455.0,0.33,1.0,0.67
WC07,1,3,15,1,3,19,235.0,0.67,1.0,0.33
WC07,1,25,18,1,25,22,216.0,0.42,1.0,0.58
WC07,1,26,12,1,26,20,466.0,0.17,1.0,0.83
WC07,1,27,17,1,27,21,202.0,0.33,1.0,0.67
WC07,1,28,18,1,28,22,228.0,0.42,1.0,0.58
WC07,1,29,16,1,29,19,194.0,0.58,1.0,0.42
WC07,1,30,18,1,30,21,219.0,0.33,1.0,0.67
WC07,1,31,18,1,31,22,245.0,0.33,1.0,0.67
WC07,2,1,13,2,1,17,210.0,0.25,1.0,0.75
WC07,2,2,13,2,2,16,165.0,0.92,1.0,0.08
WC07,2,3,17,2,3,21,220.0,0.33,1.0,0.67
WC07,2,4,19,2,4,22,198.0,0.33,1.0,0.67
WC07,2,6,18,2,6,22,194.0,0.42,1.0,0.58
WC07,2,8,17,2,8,21,238.0,0.25,1.0,0.75
WC07,2,10,17,2,10,20,185.0,0.33,1.0,0.67
WC07,2,11,19,2,11,23,233.0,0.25,1.0,0.75
WC07,2,13,17,2,13,20,188.0,0.42,1.0,0.58
WC07,2,14,18,2,14,21,206.0,0.25,1.0,0.75
WC07,2,15,18,2,15,22,224.0,0.5,1.0,0.5
WC07,2,17,16,2,17,18,129.0,0.83,1.0,0.17
WC07,2,19,15,2,19,18,189.0,0.58,1.0,0.42
WC07,2,21,9,2,21,9,3.0,0.83,0.83,0.0
WC07,2,22,17,2,22,18,78.0,0.17,0.83,0.66
WC07,3,25,10,3,25,10,0.0,0.83,0.83,0.0
WC07,3,25,10,3,25,10,1.0,0.83,0.83,0.0
WC07,3,25,10,3,25,11,65.0,0.83,0.92,0.09
WC07,3,25,11,3,25,13,134.0,0.92,1.0,0.08
WC07,3,31,17,3,31,20,198.0,0.75,1.0,0.25
WC07,4,1,18,4,1,21,183.0,0.75,1.0,0.25
WC07,4,2,18,4,2,21,189.0,0.75,1.0,0.25
WC07,4,3,18,4,3,20,161.0,0.67,1.0,0.33
WC07,4,4,21,4,5,2,246.0,0.5,1.0,0.5
WC07,4,7,17,4,7,21,228.0,0.67,1.0,0.33
WC07,4,8,17,4,8,21,213.0,0.75,1.0,0.25
WC07,4,9,19,4,10,0,267.0,0.58,1.0,0.42
WC07,4,10,19,4,10,23,217.0,0.75,1.0,0.25
WC07,4,12,19,4,12,23,233.0,0.58,1.0,0.42
WC07,4,15,16,4,15,20,233.0,0.58,1.0,0.42
WC07,4,19,10,4,19,13,160.0,0.42,1.0,0.58
WC07,4,21,13,4,21,14,56.0,0.67,0.83,0.16
WC07,4,21,17,4,21,21,257.0,0.58,1.0,0.42
WC07,4,23,15,4,23,21,312.0,0.42,1.0,0.58
WC07,4,25,19,4,26,0,300.0,0.5,1.0,0.5
WC07,4,27,19,4,27,23,209.0,0.75,1.0,0.25
WC07,4,29,19,4,30,0,294.0,0.5,1.0,0.5
WC07,5,1,15,5,1,17,127.0,0.42,0.83,0.41
WC07,5,1,22,5,2,2,294.0,0.58,1.0,0.42
WC07,5,3,16,5,3,20,275.0,0.5,1.0,0.5
WC07,5,7,19,5,8,0,298.0,0.5,1.0,0.5
WC07,5,9,15,5,9,19,270.0,0.5,1.0,0.5
WC07,5,11,18,5,11,22,270.0,0.58,1.0,0.42
WC07,5,13,20,5,14,1,302.0,0.5,1.0,0.5
WC07,5,15,16,5,15,20,241.0,0.5,1.0,0.5
WC07,5,17,20,5,18,0,245.0,0.5,1.0,0.5
WC07,5,20,16,5,20,20,244.0,0.42,1.0,0.58
WC07,5,22,15,5,22,20,304.0,0.5,1.0,0.5
WC07,5,25,17,5,25,22,294.0,0.58,1.0,0.42
WC07,5,28,19,5,29,1,340.0,0.58,1.0,0.42
SS05,12,25,22,12,26,2,250.0,0.58,1.0,0.42
SS05,12,26,20,12,27,0,257.0,0.33,1.0,0.67
SS05,12,28,16,12,28,22,369.0,0.25,1.0,0.75
SS05,12,29,18,12,30,1,399.0,0.17,1.0,0.83
SS05,12,30,22,12,31,0,160.0,0.83,1.0,0.17
SS05,1,2,19,1,2,23,250.0,0.58,1.0,0.42
SS05,1,4,19,1,5,1,332.0,0.25,1.0,0.75
SS05,1,6,16,1,6,21,278.0,0.5,1.0,0.5
SS05,1,9,15,1,9,18,173.0,0.17,0.75,0.58
SS05,1,9,20,1,9,22,138.0,0.5,0.92,0.42
SS05,1,10,23,1,11,5,406.0,0.17,1.0,0.83
SS05,1,11,11,1,11,13,92.0,0.33,0.67,0.34
SS05,1,11,14,1,11,17,166.0,0.58,1.0,0.42
SS05,1,12,18,1,12,21,133.0,0.5,0.92,0.42
SS05,1,13,13,1,13,14,39.0,0.42,0.5,0.08
SS05,1,13,23,1,14,5,388.0,0.17,1.0,0.83
SS05,1,15,22,1,16,3,319.0,0.33,1.0,0.67
SS05,1,17,16,1,17,21,327.0,0.33,1.0,0.67
SS05,1,19,12,1,19,15,136.0,0.42,0.67,0.25
SS05,1,19,18,1,19,23,295.0,0.42,1.0,0.58
SS05,1,20,23,1,21,5,339.0,0.33,1.0,0.67
SS05,1,22,12,1,22,14,108.0,0.42,0.75,0.33
SS05,1,23,8,1,23,13,319.0,0.33,1.0,0.67
SS05,1,25,22,1,25,23,94.0,0.92,1.0,0.08
SS05,1,26,18,1,26,23,265.0,0.58,1.0,0.42
SS05,1,27,16,1,27,19,195.0,0.5,1.0,0.5
SS05,1,28,18,1,28,21,223.0,0.58,1.0,0.42
SS05,1,30,20,1,31,2,379.0,0.25,1.0,0.75
SS05,2,2,11,2,2,14,164.0,0.25,0.83,0.58
SS05,2,3,12,2,3,14,109.0,0.42,0.75,0.33
SS05,2,3,14,2,3,18,230.0,0.67,1.0,0.33
SS05,2,6,7,2,6,11,257.0,0.33,1.0,0.67
SS05,2,7,17,2,7,19,116.0,0.5,0.83,0.33
SS05,2,7,20,2,7,22,113.0,0.83,1.0,0.17
SS05,2,9,14,2,9,19,325.0,0.33,1.0,0.67
SS05,2,9,22,2,10,2,241.0,0.58,1.0,0.42
SS05,2,11,23,2,12,5,357.0,0.25,1.0,0.75
SS05,2,13,23,2,14,4,315.0,0.33,1.0,0.67
SS05,2,14,20,2,15,3,420.0,0.17,1.0,0.83
SS05,2,15,22,2,16,2,227.0,0.58,1.0,0.42
SS05,2,17,19,2,18,0,312.0,0.33,1.0,0.67
SS05,2,18,20,2,19,2,310.0,0.33,1.0,0.67
SS05,2,19,12,2,19,13,51.0,0.92,1.0,0.08
SS05,2,19,22,2,20,1,217.0,0.67,1.0,0.33
SS05,2,20,20,2,21,0,279.0,0.5,1.0,0.5
SS05,2,21,18,2,21,22,186.0,0.5,1.0,0.5
SS05,2,22,15,2,22,20,305.0,0.33,1.0,0.67
SS05,2,24,23,2,25,4,283.0,0.5,1.0,0.5
SS05,2,26,11,2,26,14,143.0,0.42,0.92,0.5
SS05,2,27,10,2,27,11,44.0,0.58,0.67,0.09
SS05,2,27,14,2,27,18,253.0,0.33,1.0,0.67
SS05,3,3,22,3,4,3,308.0,0.42,1.0,0.58
SS05,3,5,20,3,6,2,357.0,0.25,1.0,0.75
SS05,3,7,15,3,7,17,89.0,0.33,0.58,0.25
SS05,3,7,23,3,8,3,256.0,0.58,1.0,0.42
SS05,3,9,15,3,9,18,192.0,0.42,1.0,0.58
SS05,3,11,8,3,11,12,253.0,0.42,1.0,0.58
SS05,3,11,15,3,11,15,30.0,0.92,0.92,0.0
SS05,3,12,7,3,12,10,194.0,0.33,0.92,0.59
SS05,3,16,18,3,17,0,315.0,0.33,1.0,0.67
SS05,3,18,11,3,18,15,248.0,0.58,1.0,0.42
SS05,3,19,13,3,19,14,55.0,0.33,0.5,0.17
SS05,3,20,20,3,21,0,216.0,0.75,1.0,0.25
SS05,3,21,16,3,21,17,76.0,0.67,0.75,0.08
SS05,3,21,23,3,22,5,407.0,0.17,1.0,0.83
SS05,3,22,22,3,23,2,250.0,0.58,1.0,0.42
SS05,3,24,22,3,25,3,307.0,0.42,1.0,0.58
SS05,3,26,19,3,27,0,267.0,0.58,1.0,0.42
SS05,3,27,20,3,28,2,389.0,0.25,1.0,0.75
SS05,3,29,11,3,29,13,94.0,0.42,0.67,0.25
SS05,3,29,15,3,29,20,287.0,0.5,1.0,0.5
SS05,3,31,6,3,31,10,267.0,0.25,1.0,0.75
SS05,4,1,12,4,1,16,249.0,0.33,0.75,0.42
SS05,4,2,6,4,2,11,307.0,0.42,1.0,0.58
SS05,4,3,6,4,3,9,171.0,0.25,0.75,0.5
SS05,4,3,9,4,3,10,52.0,0.75,0.75,0.0
SS05,4,3,19,4,3,21,131.0,0.33,0.75,0.42
SS05,4,4,6,4,4,7,49.0,0.42,0.5,0.08
SS05,4,4,7,4,4,11,266.0,0.5,1.0,0.5
SS05,4,7,22,4,8,4,348.0,0.33,1.0,0.67
SS05,4,9,22,4,10,3,309.0,0.42,1.0,0.58
SS05,4,13,7,4,13,9,80.0,0.58,0.83,0.25
SS05,4,14,6,4,14,10,247.0,0.58,1.0,0.42
SS05,4,16,14,4,16,19,269.0,0.5,1.0,0.5
SS05,4,18,11,4,18,13,99.0,0.58,0.92,0.34
SS05,4,19,18,4,19,23,286.0,0.5,1.0,0.5
SS05,4,20,17,4,20,19,88.0,0.92,1.0,0.08
SS05,4,22,6,4,22,12,350.0,0.25,1.0,0.75
SS05,4,23,6,4,23,9,203.0,0.67,1.0,0.33
SS05,4,23,14,4,23,16,124.0,0.58,0.92,0.34
SS05,4,23,19,4,23,21,94.0,0.25,0.5,0.25
SS05,4,24,6,4,24,12,360.0,0.25,1.0,0.75
SS05,4,25,14,4,25,20,360.0,0.25,1.0,0.75
SS05,4,26,19,4,26,20,94.0,0.92,1.0,0.08
SS05,5,1,9,5,1,14,302.0,0.42,1.0,0.58
SS05,5,2,15,5,2,18,200.0,0.75,1.0,0.25
SS05,5,3,21,5,4,3,372.0,0.25,1.0,0.75
SS05,5,4,13,5,4,13,8.0,0.42,0.42,0.0
SS05,5,4,13,5,4,15,87.0,0.33,0.67,0.34
SS05,5,4,16,5,4,20,269.0,0.42,1.0,0.58
SS05,5,6,14,5,6,16,109.0,0.33,0.67,0.34
SS05,5,6,19,5,7,0,271.0,0.5,1.0,0.5
SS05,5,16,18,5,16,23,268.0,0.42,1.0,0.58
SS05,5,18,13,5,18,19,302.0,0.25,1.0,0.75
SS05,5,20,22,5,21,3,298.0,0.42,1.0,0.58
SS05,5,22,22,5,23,3,327.0,0.33,1.0,0.67
SS05,5,23,12,5,23,13,72.0,0.42,0.67,0.25
SS05,5,23,22,5,24,4,347.0,0.42,1.0,0.58
SS05,5,30,14,5,30,18,261.0,0.33,1.0,0.67
SS05,5,30,19,5,30,23,199.0,0.75,1.0,0.25
SS05,6,1,13,6,1,15,103.0,0.42,0.75,0.33
SS05,6,1,15,6,1,18,164.0,0.75,1.0,0.25
SS05,6,2,16,6,2,19,214.0,0.67,1.0,0.33
SS05,6,3,18,6,3,21,183.0,0.25,0.75,0.5
SS05,6,4,16,6,4,21,287.0,0.5,1.0,0.5
SS05,6,6,6,6,6,12,333.0,0.42,1.0,0.58
SS05,6,9,11,6,9,13,135.0,0.33,0.75,0.42
SS05,6,11,22,6,12,0,98.0,0.92,1.0,0.08
SS05,6,14,14,6,14,19,282.0,0.33,1.0,0.67
SS05,6,16,14,6,16,18,262.0,0.42,1.0,0.58
SS05,6,20,15,6,20,19,272.0,0.33,1.0,0.67
SS05,6,23,6,6,23,11,299.0,0.33,1.0,0.67
